uri:/instrument/1.0/AAPL/chartdata;type=quote;range=10y/csv
ticker:aapl
Company-Name:Apple Inc.
Exchange-Name:NMS
unit:WEEK
timestamp:
first-trade:19801212
last-trade:20140609
currency:USD
previous_close_price:2.1957
Date:20040614,20140609
labels:20040614,20050103,20060103,20070103,20080107,20090105,20100104,20110103,20120103,20130107,20140106
values:Date,close,high,low,open,volume
close:2.1271,100.0129
high:2.2443,100.7243
low:2.0529,99.0886
open:2.1321,99.9071
volume:46994080,585520576
20051003,7.3286,7.9071,7.2214,7.7371,154660096
20051010,7.7143,7.7643,6.8386,7.3943,366600224
20051017,7.9514,8.1400,7.3157,7.7114,219479680
20051024,7.7814,8.2229,7.7386,7.8929,144390128
20051031,8.7357,8.9029,7.8214,7.8857,215500448
20051107,8.7914,8.8729,8.4300,8.6929,137816000
20051114,9.2229,9.4114,8.7014,8.7914,144622800
20051121,9.9057,9.9343,9.1029,9.2600,120803728
20051128,10.3757,10.3914,9.6214,10.1029,210714144
20051205,10.6186,10.6900,10.2129,10.2786,173302368
20051212,10.1586,10.7800,10.0386,10.6957,185093024
20051219,10.4786,10.6414,10.1486,10.1586,104230416
20051227,10.2700,10.7400,10.0486,10.5714,131437072
20060103,10.9000,10.9571,10.3214,10.3400,161294880
20060109,12.2271,12.3429,10.8200,10.9614,325290976
20060117,10.8700,12.3400,10.8329,12.2429,304179232
20060123,10.2900,11.3657,10.1571,10.8714,280651136
20060130,10.2643,10.9429,10.1243,10.1671,211628752
20060206,9.6157,10.3586,8.9857,10.2886,345197728
20060213,10.0414,10.1443,9.2343,9.5186,236419120
20060221,10.2086,10.4286,9.7143,10.0843,196844192
20060227,9.6743,10.3429,9.6471,10.2843,209249040
20060306,9.0271,9.6743,8.9214,9.6700,214062096
20060313,9.2371,9.7200,9.1586,9.2929,197844224
20060320,8.5657,9.3514,8.4329,9.3171,289825472
20060327,8.9600,9.0871,8.2386,8.6214,351561856
20060403,9.9700,10.2929,8.7214,9.0957,409506560
20060410,9.4957,10.1329,9.4014,10.0414,207337728
20060417,9.5771,10.0000,9.1929,9.5014,252939248
20060424,10.0557,10.1857,9.3571,9.5500,177648096
20060501,10.2700,10.4129,9.8800,10.1100,181668336
20060508,9.6714,10.5429,9.5514,10.4271,152043504
20060515,9.2157,9.7686,8.9743,9.6243,193220992
20060522,9.0786,9.3129,8.7943,9.1243,161287136
20060530,8.8086,9.0429,8.3843,9.0414,217042176
20060605,8.4629,8.7943,8.1643,8.7357,212782496
20060612,8.2229,8.5343,8.0986,8.4857,235252496
20060619,8.4043,8.5957,8.1429,8.2614,193334128
20060626,8.1814,8.4600,7.9157,8.4529,174047296
